rk,team,div,str,ofs,dfs,sos
430,Notre Dame de Namur,D2,0.713,0.546,0.765,0.887
431,Northeastern St.,D2,0.705,0.652,0.925,0.829
432,Alvernia,D3,0.701,0.640,0.913,0.715
433,California Baptist,D2,0.700,0.877,1.254,0.860
434,SUNY Geneseo,D3,0.699,0.685,0.980,0.843
435,Salisbury,D3,0.698,0.650,0.932,0.724
436,SUNY New Paltz,D3,0.698,0.736,1.054,0.747
437,Dominican (IL),D3,0.698,0.672,0.961,0.669
438,Washington Adventist,D2,0.693,0.703,1.015,0.405
439,Mary Washington,D3,0.691,0.819,1.185,0.723
440,John Carroll,D3,0.690,0.968,1.403,0.650
441,Chicago,D3,0.686,0.848,1.237,0.823
442,West Chester,D2,0.681,0.907,1.331,0.914
443,Randolph-Macon,D3,0.681,0.686,1.009,0.609
444,Gust. Adolphus,D3,0.679,0.730,1.076,0.616
445,UC San Diego,D2,0.674,0.650,0.965,0.988
446,Saint John's (MN),D3,0.659,0.814,1.236,0.708
447,New Haven,D2,0.656,0.755,1.152,0.974
448,Newman,D2,0.653,0.769,1.178,1.074
449,NYIT,D2,0.651,0.768,1.179,0.856
450,Ohio Valley,D2,0.650,0.708,1.090,0.858
451,American Int'l,D2,0.650,0.803,1.234,1.001
452,Assumption,D2,0.638,0.594,0.932,1.090
453,Truman,D2,0.637,0.830,1.302,0.932
454,Manhattanville,D3,0.632,0.578,0.915,0.697
455,Millikin,D3,0.625,0.796,1.274,0.601
456,Johns Hopkins,D3,0.624,0.806,1.292,0.787
457,Georgian Court,D2,0.624,0.918,1.470,0.839
458,Grinnell,D3,0.624,0.836,1.340,0.572
459,Clarkson,D3,0.623,1.075,1.725,0.942
460,North Georgia,D2,0.620,0.889,1.433,1.183
461,Mercyhurst,D2,0.614,0.801,1.304,1.006
462,Texas Lutheran,D3,0.611,0.564,0.924,0.560
463,Carleton,D3,0.611,0.721,1.180,0.697
464,Queens (NC),D2,0.608,0.910,1.498,1.022
465,Findlay,D2,0.607,0.771,1.271,1.043
466,Marian (WI),D3,0.607,1.030,1.697,0.601
467,Ohio Dominican,D2,0.607,0.571,0.941,1.080
468,Centre,D3,0.604,0.747,1.237,0.733
469,St. Olaf,D3,0.604,0.835,1.384,0.713
470,Castleton,D3,0.600,0.490,0.817,0.477
471,Wartburg,D3,0.598,0.845,1.413,0.703
472,Moravian,D3,0.597,1.015,1.698,0.658
473,Maryville (TN),D3,0.596,1.052,1.766,0.518
474,Mary Hardin-Baylor,D3,0.595,0.668,1.123,0.593
475,Shorter,D2,0.592,0.894,1.509,0.904
476,Wentworth,D3,0.586,0.840,1.432,0.700
477,Academy of Art,D2,0.585,0.670,1.146,0.855
478,Malone,D2,0.582,0.668,1.150,1.097
479,Ill. Wesleyan,D3,0.575,0.890,1.549,0.642
480,Wm. Paterson,D3,0.575,0.885,1.537,0.830
481,William Jewell,D2,0.575,0.998,1.736,0.926
482,Colorado Col.,D3,0.574,0.931,1.623,0.618
483,Presbyterian,D1,0.563,0.756,1.343,1.585
484,Union (TN),D2,0.562,0.835,1.487,0.846
485,Otterbein,D3,0.562,0.858,1.528,0.681
486,Alma,D3,0.558,0.869,1.557,0.590
487,Roger Williams,D3,0.545,0.758,1.391,0.789
488,Cal St. East Bay,D2,0.543,0.729,1.344,1.020
489,Lees-McRae,D2,0.543,0.893,1.646,0.956
490,UC Santa Cruz,D3,0.540,0.883,1.635,0.754
491,Chestnut Hill,D2,0.540,0.968,1.792,0.830
492,Saint Martin's,D2,0.540,0.750,1.388,1.023
493,Neb. Wesleyan,D3,0.538,1.247,2.318,0.593
494,Oswego St.,D3,0.537,0.922,1.717,0.885
