year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	2	30093	AUM	14	2040254	Murhpy, Billy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040254	Jr	15	""	3	1	7	12	6	7	2	5	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	8	2040249	Spickenbaum, Phillip	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040249	Fr	15	""	1	3	5	34	15	17	""	5	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	30093	AUM	21	2040259	Dean, Tate	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040259	Jr	14	""	2	""	4	15	8	7	1	4	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	30093	AUM	10	1795719	Arriaga, Alexis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1795719	Jr	13	""	2	""	4	24	7	1	1	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	17	1795722	Fargarson, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1795722	Jr	13	""	""	1	1	1	""	1	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	3	1795710	York, William	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1795710	Sr	11	""	1	1	3	6	1	3	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	16	1932140	Atkinson, Will	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932140	So	9	""	""	""	0	""	""	2	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	15	2040267	Montgomery, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040267	Fr	7	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	13	1932135	Bryant, Cade	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932135	So	7	""	""	""	0	1	1	3	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	7	1932125	Howard, Cooper	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932125	So	7	""	""	""	0	""	""	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	22	2079993	Vijvere, Colin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2079993	N/A	6	""	""	""	0	""	""	2	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	2	1932148	Castleberry, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932148	So	4	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	9	2040251	Grogan, Cole	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040251	So	2	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	1	2040245	Passalis, Braedan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040245	Jr	1	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	7	2035690	Cekala, Adrian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035690	Jr	18	""	6	1	13	59	29	""	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	2	1603759	Heinrichs, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1603759	Sr	18	""	2	""	4	10	2	3	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	30123	Academy of Art	3	2035796	Saemundsson, Logi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035796	Fr	18	""	""	""	0	4	1	3	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	8	2035708	Langford, Timmy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035708	Fr	18	""	""	""	0	2	1	""	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	9	1829916	Deans, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1829916	Jr	18	""	2	2	6	20	9	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	4	1947762	Hadeen, Oliver	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1947762	So	18	""	2	3	7	7	6	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	30123	Academy of Art	5	2035707	Kristjansson, Gilli	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035707	Fr	18	""	1	""	2	7	4	2	""	5	""	""	""	""	0	""	""	""	""	""	""	1	0	1	""	""
2019	14060	2	30123	Academy of Art	13	1947155	Gil, Jaret	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1947155	So	17	""	""	""	0	7	2	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	1	1947154	Jensson, Kris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1947154	So	17	""	""	""	0	""	""	""	""	""	""	17	17	1581:52	38	2.162	85	0.691	2	2	13	""	0	0	""	""
2019	14060	2	30123	Academy of Art	20	2035693	Edvarsson, Edvard	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035693	Fr	17	""	1	3	5	34	12	2	""	5	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	23	1947156	Kiser, Zak	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1947156	Jr	16	""	""	""	0	5	4	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	25	1947157	Mason, Mykal	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1947157	So	16	""	""	""	0	1	1	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	11	2035691	Omarsson, Fannar	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035691	Fr	14	""	1	""	2	14	6	1	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	12	1947765	Lacey, Connor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1947765	So	13	""	1	""	2	2	1	1	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	18	2035692	Peregrina, Jon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035692	Fr	12	""	""	""	0	7	5	2	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	10	1829914	Quiros, Isiah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1829914	Jr	12	""	""	""	0	13	4	""	1	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	21	1842632	Sprague, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1842632	Sr	7	""	""	""	0	2	1	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	6	1829911	Sigurdarson, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1829911	Sr	1	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30123	Academy of Art	0	1695665	Mendez, Kevin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1695665	Sr	1	""	""	""	0	""	""	""	""	""	""	1	1	90:00	1	1.000	3	0.750	""	""	1	""	0	0	""	""
2019	14060	2	929	Adams St.	4	1935106	Coleman, Errol	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1935106	So	18	""	""	1	1	3	2	1	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	8	2057759	Risk, Aven	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057759	Fr	18	""	""	""	0	""	""	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	9	1805014	Molinar, Ruben	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805014	Jr	18	""	1	""	2	27	9	3	""	4	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	2	1805037	Udero, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805037	Jr	18	""	""	""	0	24	9	7	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	6	1805033	Varela, Israel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805033	Jr	17	""	1	1	3	6	3	4	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	7	2057758	Valenzuela, George	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057758	So	17	""	""	1	1	15	6	1	1	4	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	13	2057795	Gindulus, Nic	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057795	Fr	17	""	""	""	0	6	3	1	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	5	2057754	Rome, Eli	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057754	Fr	17	""	""	""	0	7	2	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	16	1935155	Juarez, Diego	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1935155	So	16	""	""	""	0	14	4	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	15	1805051	Mosley, Mason	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805051	Jr	16	""	""	""	0	2	1	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	10	1805038	Salazar, Andree	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805038	Jr	15	""	2	""	4	10	5	3	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	19	1935208	Rogers, Benji	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1935208	So	15	""	4	1	9	31	11	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	929	Adams St.	0	2057746	Faircloth, Jacob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057746	Jr	15	""	""	""	0	""	""	""	""	""	""	14	14	1129:32	26	2.072	73	0.737	""	1	9	""	0	0	""	""
2019	14060	2	929	Adams St.	24	1805059	Freehill, Brady	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805059	Sr	14	""	1	1	3	4	4	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	28	2057849	Castro, Marcelo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057849	Jr	14	""	""	""	0	1	""	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	22	2057805	Schlesinger II, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057805	Jr	14	""	""	1	1	""	""	3	""	8	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	14	2057799	Sutton-Jones, Hayden	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057799	Fr	14	""	""	""	0	7	2	3	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	25	2076403	Ramirez, Cebastian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2076403	Fr	13	""	""	""	0	3	""	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	27	2057823	Coley, Manolo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057823	Sr	11	""	""	""	0	6	5	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	11	2057765	Ochoa, Kaleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057765	Fr	11	""	""	""	0	1	1	2	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	18	2076401	Calloway, Dawson	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2076401	Jr	11	""	""	""	0	3	2	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	12	2057768	Uribe, Juan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057768	Fr	10	""	""	""	0	""	""	2	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	3	2057752	Baffoe, Joshua	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057752	Jr	9	""	1	""	2	4	4	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	00	2057749	Mckeeken, Shawn	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057749	Fr	8	""	""	""	0	""	""	""	""	1	""	8	4	532:30	14	2.366	36	0.720	""	""	6	""	0	0	""	""
2019	14060	2	929	Adams St.	23	2078778	Aldama, Harian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2078778	N/A	8	""	""	""	0	3	2	1	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	1	1805060	Mosley, Conor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1805060	Jr	8	""	""	""	0	1	""	""	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	26	2076404	Vazquez, Ezequiel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2076404	Fr	6	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	20	2076405	Fuierer, Kol	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2076405	Fr	6	""	""	""	0	2	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	17	1935158	King, Alex	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1935158	So	3	""	""	""	0	4	1	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	21	2057770	Hopkins, Logan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057770	So	3	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	29	2076406	Parks, Ian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2076406	Fr	3	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	30	2086070	Snyder, Dylan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2086070	N/A	2	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	99	2057851	Burcin, Matthew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2057851	Fr	2	""	""	""	0	""	""	""	""	""	""	2	""	13:08	3	20.558	""	""	""	""	""	""	0	0	""	""
2019	14060	2	929	Adams St.	23	2076402	Reinhardt, Noah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2076402	Fr	1	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	""	""	""
2019	14060	2	3	Adelphi	11	1676241	Thristino, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1676241	Sr	23	""	12	13	37	100	46	3	""	6	""	""	""	""	0	""	""	""	""	""	""	""	1	2	""	4
2019	14060	2	3	Adelphi	1	1897262	Apicella, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1897262	Jr	23	""	""	""	0	""	""	""	""	""	""	23	22	2122:46	27	1.145	117	0.812	11	17	4	""	0	0	""	""
2019	14060	2	3	Adelphi	14	1897278	Speed, Tommy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1897278	So	23	""	2	""	4	7	4	3	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	9	1796781	Kaczynski, Taylor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1796781	Jr	23	""	8	7	23	39	24	6	1	5	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	4
2019	14060	2	3	Adelphi	7	2025655	Marciano, Paolo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025655	Fr	23	""	12	7	31	64	33	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	5
2019	14060	2	3	Adelphi	28	2025717	Vacca, Giancarlo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025717	Fr	22	""	""	""	0	8	4	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	8	1942690	Megaloudis, Stephen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1942690	Sr	22	""	3	6	12	23	9	4	1	4	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	23	1796775	Keenan, Aidan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1796775	Jr	22	""	""	1	1	5	4	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	4	1798155	Corti, Alessandro	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1798155	Jr	22	""	1	""	2	5	1	3	1	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	3	Adelphi	5	2025651	Michaelson, Mads	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025651	Fr	21	""	""	5	5	5	2	2	""	1	""	""	""	""	0	""	""	""	""	""	""	1	0	0	""	""
2019	14060	2	3	Adelphi	15	2025662	De Meij, Tim	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025662	Fr	20	""	""	""	0	8	4	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	10	1715019	Guier, Patrick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1715019	Sr	20	""	6	4	16	33	18	4	1	6	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	2
2019	14060	2	3	Adelphi	26	1897272	Pinto, Ofek	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1897272	Jr	19	""	1	""	2	7	6	""	""	4	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	21	1848209	Aydogan, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1848209	So	18	""	2	""	4	5	3	2	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	19	2025685	Friedlander, Christopher	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025685	Fr	18	""	1	""	2	2	2	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	20	1897276	Thomann, Joseph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1897276	So	18	""	""	""	0	7	4	1	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	6	2025653	Gileppo, Gianfranco	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025653	Fr	16	""	""	""	0	2	1	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	22	1675750	Waxner, Noah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1675750	Jr	7	""	""	1	1	3	2	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	27	2025709	Chacon, Marcelo	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2025709	Fr	7	""	""	""	0	1	""	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	3	1796772	Horgan, Billy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1796772	Sr	7	""	""	""	0	1	""	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	2	1897260	Sambone, Alessandro	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1897260	So	4	""	""	""	0	1	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	16	1570589	Sathavisam, Quentin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1570589	Sr	2	""	""	""	0	""	""	""	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	24	1796777	Iparraguirre, Carlos	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1796777	Sr	2	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	31	1897282	Stewart, Eric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1897282	So	1	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	3	Adelphi	18	1801291	Shala, Blendi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1801291	Jr	1	""	""	""	0	""	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	10	Alabama Huntsville	21	1936314	Moreno, Rafa	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1936314	So	18	""	14	1	29	45	29	5	""	2	""	""	""	""	0	""	""	""	""	""	""	""	2	4	""	5
