year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	3	939	Anderson (IN)	-	Totals	-	-	-	34	29	97	245	111	150	""	6	""	""	""	1714:18	34	1.785	106	0.757	1	""	""	""	2	2	95	6
2019	14060	3	939	Anderson (IN)	-	Opponent Totals	-	-	-	33	22	88	300	135	154	""	15	""	""	""	1624:18	32	1.773	70	0.686	3	""	""	""	4	4	106	10
2019	14060	3	26	Anna Maria	-	TEAM	-	-	-	1	""	2	""	1	134	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	26	Anna Maria	-	Totals	-	-	-	9	8	26	105	56	161	2	18	""	""	""	1646:11	46	2.515	147	0.762	2	""	""	7	1	1	34	2
2019	14060	3	26	Anna Maria	-	Opponent Totals	-	-	-	46	32	124	394	195	177	""	16	""	""	""	1556:11	8	0.463	41	0.837	10	""	""	""	4	7	162	15
2019	14060	3	966	Arcadia	-	TEAM	-	-	-	""	""	0	""	""	192	""	""	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	966	Arcadia	-	Totals	-	-	-	24	11	59	214	107	192	""	18	""	""	""	1563:33	28	1.612	49	0.636	2	""	""	""	1	4	67	5
2019	14060	3	966	Arcadia	-	Opponent Totals	-	-	-	28	19	75	171	77	229	1	13	""	""	""	1563:33	24	1.381	83	0.776	6	""	""	""	3	3	67	11
2019	14060	3	38	Augsburg	-	TEAM	-	-	-	1	""	2	""	1	194	""	""	""	5	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	38	Augsburg	-	Totals	-	-	-	40	38	118	237	110	198	""	23	""	""	""	1888:59	14	0.667	102	0.879	10	""	""	""	2	4	87	12
2019	14060	3	38	Augsburg	-	Opponent Totals	-	-	-	14	10	38	287	116	245	5	19	""	""	""	1843:59	40	1.952	70	0.636	4	""	""	""	1	1	86	4
2019	14060	3	40	Augustana (IL)	-	TEAM	-	-	-	""	""	0	""	""	217	""	2	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	40	Augustana (IL)	-	Totals	-	-	-	11	7	29	153	58	238	2	37	""	""	""	1549:01	32	1.859	94	0.746	4	""	""	2	0	0	51	5
2019	14060	3	40	Augustana (IL)	-	Opponent Totals	-	-	-	32	24	88	251	128	181	1	21	""	""	""	1549:01	11	0.639	43	0.796	7	""	""	4	2	3	87	12
2019	14060	3	42	Aurora	-	TEAM	-	-	-	1	""	2	""	1	162	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	3	42	Aurora	-	Totals	-	-	-	40	28	108	296	152	165	1	7	""	""	""	1735:29	30	1.556	66	0.688	4	""	""	""	1	2	94	9
2019	14060	3	42	Aurora	-	Opponent Totals	-	-	-	30	21	81	195	96	212	""	32	""	""	""	1735:29	40	2.074	111	0.735	3	""	""	1	1	1	78	9
2019	14060	3	953	Austin	-	TEAM	-	-	-	1	""	2	""	1	153	""	""	""	2	""	""	0	""	4	1.000	""	""	""	""	0	0	""	""
2019	14060	3	953	Austin	-	Totals	-	-	-	23	16	62	210	93	172	""	19	""	""	""	1500:00	22	1.320	59	0.728	6	""	""	""	2	4	69	6
2019	14060	3	953	Austin	-	Opponent Totals	-	-	-	22	16	60	190	81	163	""	15	""	""	""	1500:00	23	1.380	69	0.750	6	""	""	1	2	5	56	6
2019	14060	3	44	Averett	-	TEAM	-	-	-	""	""	0	1	""	168	""	""	""	2	""	""	0	""	1	1.000	""	""	""	1	0	0	""	""
2019	14060	3	44	Averett	-	Totals	-	-	-	13	9	35	225	83	174	""	19	""	""	""	1640:56	36	1.974	98	0.731	3	""	""	1	3	3	67	3
2019	14060	3	44	Averett	-	Opponent Totals	-	-	-	36	26	98	298	135	213	""	13	""	""	""	1640:56	13	0.713	70	0.843	9	""	""	""	3	4	114	13
2019	14060	3	45	Babson	-	TEAM	-	-	-	1	""	2	""	1	210	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	45	Babson	-	Totals	-	-	-	27	31	85	297	145	228	""	10	""	""	""	1792:49	11	0.552	76	0.874	11	""	""	""	1	1	99	11
2019	14060	3	45	Babson	-	Opponent Totals	-	-	-	11	8	30	201	87	188	1	14	""	""	""	1792:49	27	1.355	116	0.811	3	""	""	2	2	2	65	3
2019	14060	3	46	Baldwin Wallace	-	TEAM	-	-	-	2	""	4	""	2	147	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	46	Baldwin Wallace	-	Totals	-	-	-	43	36	122	322	143	176	""	15	""	""	""	1750:55	47	2.416	81	0.633	4	""	""	""	1	2	115	7
2019	14060	3	46	Baldwin Wallace	-	Opponent Totals	-	-	-	47	35	129	263	128	181	1	21	""	""	""	1750:55	43	2.210	100	0.699	1	""	""	1	2	2	100	10
2019	14060	3	962	Bard	-	TEAM	-	-	-	""	""	0	""	""	144	""	1	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	962	Bard	-	Totals	-	-	-	10	7	27	108	51	165	1	13	""	""	""	1556:32	41	2.371	137	0.770	2	""	""	""	1	1	41	3
2019	14060	3	962	Bard	-	Opponent Totals	-	-	-	41	24	106	365	178	223	""	13	""	""	""	1556:32	10	0.578	41	0.804	11	""	""	""	1	1	130	13
2019	14060	3	58	Baruch	-	TEAM	-	-	-	""	""	0	""	""	180	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	58	Baruch	-	Totals	-	-	-	32	20	84	272	127	215	2	25	""	""	""	1718:43	31	1.623	57	0.648	4	""	""	""	2	3	95	8
2019	14060	3	58	Baruch	-	Opponent Totals	-	-	-	31	20	82	199	88	194	1	24	""	""	""	1718:43	32	1.676	95	0.748	6	""	""	""	2	2	54	5
2019	14060	3	50	Bates	-	TEAM	-	-	-	""	""	0	""	""	166	""	""	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	50	Bates	-	Totals	-	-	-	19	15	53	245	97	195	""	12	""	""	""	1373:41	13	0.852	46	0.780	7	""	""	1	1	1	66	8
2019	14060	3	50	Bates	-	Opponent Totals	-	-	-	13	10	36	140	60	128	1	16	""	""	""	1328:41	19	1.287	78	0.804	5	""	""	""	1	1	71	6
2019	14060	3	26107	Becker	-	TEAM	-	-	-	""	""	0	""	""	180	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	26107	Becker	-	Totals	-	-	-	16	7	39	219	107	204	1	19	""	""	""	1571:00	42	2.406	118	0.738	""	""	""	1	3	3	59	2
2019	14060	3	26107	Becker	-	Opponent Totals	-	-	-	42	25	109	336	161	227	1	16	""	""	""	1571:00	16	0.917	90	0.849	8	""	""	1	4	5	108	11
2019	14060	3	30197	Belhaven	-	TEAM	-	-	-	""	""	0	""	""	158	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	30197	Belhaven	-	Totals	-	-	-	23	12	58	151	65	176	3	39	""	""	""	1700:27	48	2.541	95	0.664	3	""	""	""	6	7	46	4
2019	14060	3	30197	Belhaven	-	Opponent Totals	-	-	-	48	35	131	235	143	185	4	26	""	""	""	1700:27	23	1.217	42	0.646	5	""	""	""	2	2	82	11
2019	14060	3	53	Beloit	-	TEAM	-	-	-	""	""	0	""	""	87	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	53	Beloit	-	Totals	-	-	-	18	9	45	172	79	226	2	22	""	""	""	1656:45	44	2.390	117	0.727	2	""	""	1	4	4	41	4
2019	14060	3	53	Beloit	-	Opponent Totals	-	-	-	43	33	119	326	144	188	""	23	""	""	""	1656:45	18	0.978	70	0.795	7	""	""	""	4	4	106	13
2019	14060	3	296	Benedictine (IL)	-	TEAM	-	-	-	""	""	0	2	2	234	""	""	""	3	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	296	Benedictine (IL)	-	Totals	-	-	-	41	47	129	275	143	234	3	19	""	""	""	1620:00	25	1.389	74	0.747	4	""	""	""	4	4	79	11
2019	14060	3	296	Benedictine (IL)	-	Opponent Totals	-	-	-	25	22	72	213	99	229	3	27	""	""	""	1620:00	41	2.278	102	0.713	3	""	""	""	3	4	69	7
2019	14060	3	30171	Berea	-	TEAM	-	-	-	1	""	2	""	1	199	""	""	""	1	""	""	0	""	1	1.000	""	""	""	2	0	0	""	""
2019	14060	3	30171	Berea	-	Totals	-	-	-	21	11	53	242	98	204	2	23	""	""	""	1657:51	64	3.474	101	0.612	3	""	""	3	4	4	59	4
2019	14060	3	30171	Berea	-	Opponent Totals	-	-	-	59	46	164	291	157	141	""	12	""	""	""	1477:51	15	0.913	57	0.792	7	""	""	1	3	4	59	13
2019	14060	3	973	Berry	-	TEAM	-	-	-	""	""	0	""	""	244	""	1	""	3	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	973	Berry	-	Totals	-	-	-	41	33	115	274	138	244	1	27	""	""	""	1593:47	23	1.299	73	0.760	5	""	""	""	0	1	95	10
2019	14060	3	973	Berry	-	Opponent Totals	-	-	-	23	12	58	212	96	185	3	28	""	""	""	1593:47	41	2.315	97	0.703	4	""	""	""	0	1	63	5
2019	14060	3	59	Bethany (WV)	-	TEAM	-	-	-	""	""	0	""	""	202	1	2	""	3	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	59	Bethany (WV)	-	Totals	-	-	-	19	10	48	154	69	235	5	40	""	""	""	1614:50	27	1.505	89	0.767	6	""	""	""	3	3	61	7
2019	14060	3	59	Bethany (WV)	-	Opponent Totals	-	-	-	27	21	75	231	109	250	1	30	""	""	""	1614:50	19	1.059	53	0.736	8	""	""	""	2	2	92	9
2019	14060	3	30038	Bethany Lutheran	-	TEAM	-	-	-	1	""	2	""	1	189	""	1	""	3	""	""	0	""	4	1.000	""	""	""	""	0	0	""	1
2019	14060	3	30038	Bethany Lutheran	-	Totals	-	-	-	23	9	55	244	109	213	1	46	""	""	""	1696:49	33	1.750	113	0.774	4	""	""	""	4	4	102	7
2019	14060	3	30038	Bethany Lutheran	-	Opponent Totals	-	-	-	28	21	77	254	132	200	2	32	""	""	""	1520:00	17	1.007	76	0.817	7	""	""	""	4	4	81	8
2019	14060	3	60	Bethel (MN)	-	TEAM	-	-	-	3	""	6	""	3	145	""	1	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	2
2019	14060	3	60	Bethel (MN)	-	Totals	-	-	-	16	7	39	155	78	145	1	20	""	""	""	1588:38	40	2.266	88	0.688	2	""	""	""	0	0	68	4
2019	14060	3	60	Bethel (MN)	-	Opponent Totals	-	-	-	40	36	116	262	128	223	1	22	""	""	""	1588:38	16	0.906	62	0.795	7	""	""	""	2	2	105	12
2019	14060	3	28593	Birmingham-So.	-	TEAM	-	-	-	1	""	2	""	1	204	""	3	""	6	""	""	0	""	7	1.000	""	""	""	""	0	0	""	""
2019	14060	3	28593	Birmingham-So.	-	Totals	-	-	-	36	26	98	223	112	204	1	31	""	""	""	1678:38	21	1.126	125	0.856	7	""	""	""	4	4	87	9
2019	14060	3	28593	Birmingham-So.	-	Opponent Totals	-	-	-	21	16	58	323	146	178	""	26	""	""	""	1678:38	36	1.930	75	0.676	4	""	""	1	1	3	124	5
2019	14060	3	64	Blackburn	-	TEAM	-	-	-	""	""	0	""	""	114	""	1	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	64	Blackburn	-	Totals	-	-	-	4	2	10	78	31	152	2	17	""	""	""	1643:17	75	4.108	152	0.670	""	""	""	""	0	0	29	1
2019	14060	3	64	Blackburn	-	Opponent Totals	-	-	-	66	49	181	424	209	122	2	10	""	""	""	1373:17	1	0.066	20	0.952	14	""	""	""	5	5	129	13
2019	14060	3	987	Bluffton	-	TEAM	-	-	-	""	""	0	""	""	122	""	""	""	3	""	""	0	""	4	1.000	""	""	""	""	0	0	""	""
2019	14060	3	987	Bluffton	-	Totals	-	-	-	17	15	49	166	86	192	""	15	""	""	""	1630:34	53	2.925	111	0.677	1	""	""	2	2	2	62	2
2019	14060	3	987	Bluffton	-	Opponent Totals	-	-	-	53	30	136	357	166	218	""	18	""	""	""	1630:34	17	0.938	69	0.802	6	""	""	""	3	3	117	16
2019	14060	3	69	Bowdoin	-	TEAM	-	-	-	""	""	0	""	""	169	""	1	""	""	""	""	0	""	""	""	""	""	""	1	0	0	""	""
2019	14060	3	69	Bowdoin	-	Totals	-	-	-	28	19	75	246	122	175	""	11	""	""	""	1486:14	15	0.908	81	0.844	5	""	""	4	1	2	95	8
2019	14060	3	69	Bowdoin	-	Opponent Totals	-	-	-	15	14	44	186	98	225	""	21	""	""	""	1486:14	28	1.696	92	0.767	4	""	""	2	0	0	60	5
2019	14060	3	73	Brandeis	-	TEAM	-	-	-	""	""	0	""	""	180	""	2	""	1	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	73	Brandeis	-	Totals	-	-	-	24	20	68	266	113	185	""	17	""	""	""	1701:58	20	1.058	78	0.796	7	""	""	""	1	1	94	7
2019	14060	3	73	Brandeis	-	Opponent Totals	-	-	-	20	20	60	239	98	211	""	24	""	""	""	1701:58	24	1.269	89	0.788	6	""	""	""	1	1	76	9
2019	14060	3	30094	Brevard	-	TEAM	-	-	-	1	""	2	""	1	189	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	30094	Brevard	-	Totals	-	-	-	20	14	54	192	93	204	""	28	""	""	""	1640:57	58	3.181	136	0.701	1	""	""	""	2	3	61	4
2019	14060	3	30094	Brevard	-	Opponent Totals	-	-	-	48	45	141	339	169	154	""	15	""	""	""	1460:57	20	1.232	71	0.780	3	""	""	""	3	3	98	10
2019	14060	3	75	Bridgewater (VA)	-	TEAM	-	-	-	1	""	2	""	1	162	""	""	""	2	""	""	0	""	1	1.000	""	""	""	1	0	0	""	""
2019	14060	3	75	Bridgewater (VA)	-	Totals	-	-	-	31	25	87	200	105	191	""	16	""	""	""	1730:00	20	1.040	93	0.823	7	""	""	2	0	1	51	11
2019	14060	3	75	Bridgewater (VA)	-	Opponent Totals	-	-	-	20	12	52	251	114	193	2	31	""	""	""	1730:00	31	1.613	74	0.705	5	""	""	""	2	4	117	6
2019	14060	3	76	Bridgewater St.	-	TEAM	-	-	-	""	""	0	""	""	206	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	76	Bridgewater St.	-	Totals	-	-	-	38	41	117	315	149	237	3	16	""	""	""	1820:00	32	1.582	110	0.775	5	""	""	1	4	5	96	11
2019	14060	3	76	Bridgewater St.	-	Opponent Totals	-	-	-	32	29	93	308	143	278	""	34	""	""	""	1820:00	38	1.879	111	0.745	6	""	""	""	4	4	115	8
2019	14060	3	78	Brockport	-	TEAM	-	-	-	2	""	4	""	1	221	""	1	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	3	78	Brockport	-	Totals	-	-	-	52	26	130	352	179	238	1	35	""	""	""	2141:33	23	0.967	101	0.815	10	""	""	""	6	7	135	16
2019	14060	3	78	Brockport	-	Opponent Totals	-	-	-	23	12	58	252	124	253	2	40	""	""	""	2141:33	52	2.185	129	0.713	1	""	""	""	2	4	98	5
2019	14060	3	79	Brooklyn	-	TEAM	-	-	-	""	""	0	""	""	191	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	79	Brooklyn	-	Totals	-	-	-	14	10	38	135	68	201	2	28	""	""	""	1731:30	66	3.431	125	0.654	2	""	""	""	2	2	37	4
2019	14060	3	79	Brooklyn	-	Opponent Totals	-	-	-	66	49	181	371	191	182	""	18	""	""	""	1731:30	14	0.728	54	0.794	13	""	""	""	3	3	111	14
2019	14060	3	30188	Bryn Athyn	-	TEAM	-	-	-	""	""	0	""	""	137	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	30188	Bryn Athyn	-	Totals	-	-	-	11	6	28	102	48	142	1	16	""	""	""	1359:45	57	3.773	94	0.623	""	""	""	""	2	2	38	2
2019	14060	3	30188	Bryn Athyn	-	Opponent Totals	-	-	-	50	38	138	307	130	126	""	13	""	""	""	1179:45	6	0.458	28	0.824	9	""	""	""	3	4	90	11
2019	14060	3	84	Buena Vista	-	TEAM	-	-	-	""	""	0	""	""	172	""	5	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	84	Buena Vista	-	Totals	-	-	-	10	6	26	159	70	172	1	35	""	""	""	1530:00	50	2.941	124	0.713	""	""	""	""	0	0	40	1
2019	14060	3	84	Buena Vista	-	Opponent Totals	-	-	-	47	30	124	342	163	161	1	17	""	""	""	1350:00	9	0.600	56	0.862	9	""	""	""	4	6	134	14
2019	14060	3	85	Buffalo St.	-	TEAM	-	-	-	""	""	0	""	""	175	""	2	""	2	""	""	0	""	3	1.000	""	""	""	""	0	0	""	""
2019	14060	3	85	Buffalo St.	-	Totals	-	-	-	29	21	79	285	133	191	4	31	""	""	""	1665:39	16	0.865	74	0.822	8	""	""	""	1	1	77	11
2019	14060	3	85	Buffalo St.	-	Opponent Totals	-	-	-	16	12	44	179	90	237	3	22	""	""	""	1665:39	29	1.567	104	0.782	6	""	""	""	2	2	63	5
2019	14060	3	480	CCNY	-	TEAM	-	-	-	""	""	0	""	""	142	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	480	CCNY	-	Totals	-	-	-	15	18	48	120	58	154	""	16	""	""	""	1235:00	77	5.611	103	0.572	""	""	""	""	1	1	34	2
2019	14060	3	480	CCNY	-	Opponent Totals	-	-	-	77	54	208	305	180	174	""	10	""	""	""	1235:00	15	1.093	43	0.741	6	""	""	1	6	7	74	11
2019	14060	3	451	CMSV	-	TEAM	-	-	-	""	""	0	""	2	206	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	451	CMSV	-	Totals	-	-	-	21	11	53	165	72	206	3	29	""	""	""	1669:22	63	3.396	162	0.720	""	""	""	""	0	1	49	4
2019	14060	3	451	CMSV	-	Opponent Totals	-	-	-	59	46	164	465	215	188	1	27	""	""	""	1579:22	21	1.197	46	0.687	5	""	""	""	2	3	109	13
2019	14060	3	122	CWRU	-	TEAM	-	-	-	""	""	0	""	""	211	""	1	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	122	CWRU	-	Totals	-	-	-	53	33	139	361	167	225	1	15	""	""	""	2043:51	23	1.013	74	0.763	9	""	""	""	4	5	112	16
2019	14060	3	122	CWRU	-	Opponent Totals	-	-	-	23	10	56	241	97	225	2	22	""	""	""	2043:51	53	2.334	114	0.683	3	""	""	""	3	3	97	4
2019	14060	3	88	Cabrini	-	TEAM	-	-	-	1	""	2	""	1	207	""	""	""	3	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	88	Cabrini	-	Totals	-	-	-	23	12	58	216	87	219	1	31	""	""	""	1750:36	21	1.080	87	0.806	6	""	""	2	3	4	82	11
2019	14060	3	88	Cabrini	-	Opponent Totals	-	-	-	21	20	62	265	108	224	1	24	""	""	""	1750:36	23	1.182	65	0.739	5	""	""	""	1	4	88	7
2019	14060	3	1305	Cairn	-	TEAM	-	-	-	""	""	0	""	""	99	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	1305	Cairn	-	Totals	-	-	-	38	29	105	269	113	176	""	7	""	""	""	1569:34	18	1.032	54	0.750	7	""	""	2	4	4	116	12
2019	14060	3	1305	Cairn	-	Opponent Totals	-	-	-	18	12	48	182	73	137	1	13	""	""	""	1569:34	38	2.179	75	0.664	2	""	""	""	1	3	78	2
2019	14060	3	105	Cal Lutheran	-	TEAM	-	-	-	""	""	0	""	""	121	""	""	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	105	Cal Lutheran	-	Totals	-	-	-	15	10	40	183	80	162	1	24	""	""	""	1563:53	28	1.611	114	0.803	3	""	""	1	2	4	67	4
2019	14060	3	105	Cal Lutheran	-	Opponent Totals	-	-	-	28	25	81	281	143	240	2	25	""	""	""	1534:33	15	0.880	65	0.812	8	""	""	3	1	2	75	12
2019	14060	3	89	Caltech	-	TEAM	-	-	-	""	""	0	""	""	125	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	89	Caltech	-	Totals	-	-	-	21	14	56	145	75	126	""	17	""	""	""	1546:01	45	2.620	124	0.734	2	""	""	""	3	5	36	4
2019	14060	3	89	Caltech	-	Opponent Totals	-	-	-	45	40	130	346	164	202	1	21	""	""	""	1456:01	15	0.927	49	0.766	9	""	""	""	3	3	104	13
2019	14060	3	114	Calvin	-	TEAM	-	-	-	1	""	2	""	1	128	""	1	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	114	Calvin	-	Totals	-	-	-	96	76	268	512	245	179	""	10	""	""	""	2144:55	14	0.587	54	0.794	13	""	""	""	5	7	185	21
2019	14060	3	114	Calvin	-	Opponent Totals	-	-	-	13	7	33	127	66	264	3	25	""	""	""	2009:55	94	4.209	140	0.598	1	""	""	""	2	3	39	2
2019	14060	3	117	Capital	-	TEAM	-	-	-	""	""	0	""	""	208	""	""	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	117	Capital	-	Totals	-	-	-	63	43	169	303	144	216	""	28	""	""	""	1829:00	25	1.230	94	0.790	6	""	""	""	4	4	99	15
2019	14060	3	117	Capital	-	Opponent Totals	-	-	-	25	17	67	272	119	222	2	22	""	""	""	1829:00	63	3.100	81	0.562	3	""	""	""	1	2	99	5
2019	14060	3	118	Carleton	-	TEAM	-	-	-	2	""	4	""	2	202	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	118	Carleton	-	Totals	-	-	-	48	29	125	426	203	209	1	10	""	""	""	1967:20	11	0.503	51	0.823	12	""	""	""	2	4	129	16
2019	14060	3	118	Carleton	-	Opponent Totals	-	-	-	11	9	31	141	62	222	1	26	""	""	""	1967:20	48	2.196	155	0.764	2	""	""	""	1	2	55	2
